Date,BTC-USD,CSPX.L,BNO,AMZN
2019-05-29,186477.41840764708,246195.16135567808,2150.3438028224464,241387.63203999563
2019-05-30,179155.3851705192,246897.494454557,2065.4187576211593,241006.81346270698
2019-05-31,184647.30440617923,245294.7328966592,1951.0967650955179,235533.3664107995
2019-06-03,176776.3105727364,244376.27828196652,1926.0548364727379,224602.3944141461
2019-06-04,165982.71773559361,247266.6459413265,1966.3396420539698,229494.67645592574
2019-06-05,168490.63109729468,249652.80334084324,1921.6996101025384,230680.91393312003
2019-06-06,168443.08283234417,251570.72035517695,1973.9610805331952,232785.36944986676
2019-06-07,173222.17765899815,255172.43419125298,2004.447042118725,239376.06897957792
2019-06-10,172282.81026716175,257414.49226096345,1975.049887125747,246886.2985434298
2019-06-11,170719.08011006733,256532.06247872228,1976.1386937182972,247293.64856683303
2019-06-12,175416.67414025258,255667.6588521551,1894.4800682946582,246181.70885723806
2019-06-13,177248.53361097773,256180.90966873098,1944.564133208841,248169.41305310946
2019-06-14,187217.03471826614,256126.88615950136,1967.4284486465192,248085.81794114542
2019-06-17,200708.7970661626,256838.20485732122,1933.6762749519646,250256.61827064262
2019-06-18,195570.89264349552,259557.51639005178,1977.2275003108464,252292.07259053484
2019-06-19,199700.31540065975,258963.2303096319,1983.7601321975221,253276.63544283778
2019-06-20,205162.28827219343,261079.2426841056,2054.531107032907,254523.90496457383
2019-06-21,218457.59069476125,262727.0146733962,2079.5730356556865,253609.68769864185
2019-06-24,192152.40438539628,284527.5579087215,2492.5429814143386,276143.5496985096
2019-06-25,205760.78025973527,282680.66012552974,2497.7988593719956,271002.73988681246
2019-06-26,227143.4817159142,281566.6824291671,2541.158850066447,273824.9094017082
2019-06-27,195148.77607851443,281312.60426096973,2541.158850066447,274755.5463723924
2019-06-28,216517.70777312337,282641.5642947191,2492.5429814143386,273218.92716106493
2019-07-01,184684.0299538852,285709.9458536576,2530.6473447651883,277339.6451453601
2019-07-02,188497.77673881088,285446.0862724123,2430.787919096197,279088.3739923347
2019-07-03,208733.56612362957,288055.1887388149,2457.0668076563743,279765.05357396347
2019-07-04,195718.21025314185,289051.908764127,2496.484889882583,280329.2056738893
2019-07-05,191582.7657093595,286970.5254602149,2496.484889882583,280329.2056738893
2019-07-08,214399.635550046,286648.0370434443,2480.7175066236664,281686.89755909087
2019-07-09,219422.92296297694,286628.5040387296,2496.484889882583,286878.22056808387
2019-07-10,212140.71298120648,288211.542240676,2593.7163765727437,291078.30133725196
2019-07-11,198217.59239593206,289247.3580967987,2593.7163765727437,288720.7017683383
2019-07-12,206198.25989991188,289911.8381136735,2593.7163765727437,290153.44132915954
2019-07-15,190127.8915571447,290341.80278844666,2568.7514575019854,291594.8287211778
2019-07-16,165392.3042840312,290341.80278844666,2524.077497318118,289994.73337210447
2019-07-17,169164.486157485,288719.6687556896,2470.206001322408,287416.3939490377
2019-07-18,186138.5121450654,287009.5914696443,2428.1599801173716,285377.67214757274
2019-07-19,183769.5678179392,289110.53759965213,2457.0668076563757,283447.162718558
2019-07-22,180495.34687650812,287390.70872194023,2467.5783129576344,286492.97818159324
2019-07-23,172776.1855498689,288328.79991172685,2496.4848898825835,287771.3248946126
2019-07-24,171225.82628122266,289638.2269407615,2461.008465510563,288683.20434956445
2019-07-25,172969.43938180388,290087.7246202496,2461.008465510563,284788.98556932306
2019-07-26,172244.56709420658,291358.0856398549,2470.206001322408,280349.4074302696
2019-07-29,166116.5801091841,291182.19913327874,2489.9152930495684,275934.32854415855
2019-07-30,167657.10626839247,290595.880956644,2533.275283744019,273925.9181836092
2019-07-31,176002.14415866855,290732.67163240956,2514.8799615062744,269344.92774989427
2019-08-01,181482.4070128109,290507.93770335603,2388.741897891163,267691.43072222924
2019-08-02,183550.427515924,281732.7875226951,2397.9394337030076,263062.8331852049
2019-08-05,206017.940782125,276622.0886692741,2340.126029239055,254678.540681305
2019-08-06,200303.0807277697,274902.259791562,2308.591513335277,257953.76144238072
2019-08-07,208396.75230225743,275859.8839860634,2240.266603570064,258757.42852488277
2019-08-08,208823.2229498917,281869.6080198417,2252.092078360738,264455.1692332659
2019-08-09,207017.57775510903,280218.1595693217,2288.8824722221725,260803.35391689642
2019-08-12,198635.6103186422,279084.6190468632,2287.568502732759,257533.91011841234
2019-08-13,190140.80922950842,281664.3772741219,2396.625464213594,263221.54114226
2019-08-14,175410.1466618648,276788.22358418326,2317.7890491471226,254365.43987644778
2019-08-15,179944.59049727774,274765.43929441547,2279.684936410329,256264.21123658988
2019-08-16,181040.37721627398,278732.81621232984,2294.138099565775,258637.66222724924
2019-08-19,190493.72753687532,282670.87871248176,2337.498340874281,262035.53776725422
2019-08-20,187826.87578152562,281869.6080198417,2342.753968217883,259908.80534971977
2019-08-21,176916.94713029714,282778.38479186577,2363.776978820402,263106.12517926126
2019-08-22,176794.8938724207,281771.8833535058,2345.3819071967114,260382.05835227988
2019-08-23,181627.17696892074,278009.70735993,2307.2775438458625,252440.70741002448
2019-08-26,180978.97566808492,278097.650613218,2296.7660385446034,255218.15830290667
2019-08-27,177744.99037896428,278097.650613218,2325.672866083608,254202.39919744883
2019-08-28,170222.35490681132,278596.02553656464,2359.835070352159,254551.57079312258
2019-08-29,165960.4773666335,282465.6777881432,2380.858331568732,257747.4463820163
2019-08-30,167495.68648919606,282289.7912815672,2315.1613607823506,256288.7457149139
2019-09-02,180559.11723268987,281644.84426940716,2280.998905899742,258243.77200956177
2019-09-03,185389.13377190183,280579.71399552183,2280.998905899742,258243.77200956177
2019-09-04,184882.24294499945,283462.3978134552,2396.625464213594,259799.14873662175
2019-09-05,184551.37670628543,288162.6948181988,2397.9394337030076,265584.9000610748
2019-09-06,180673.28014451804,288182.22782291356,2425.5320411385433,264544.6240899835
2019-09-09,180353.43994013054,288543.78224911325,2471.5199708118225,264232.96752577426
2019-09-10,176531.73464202037,286139.91052843095,2462.3224349999764,262674.7199301094
2019-09-11,177620.60239666328,289169.19625655876,2409.7649084936816,263026.7623943884
2019-09-12,181664.9074789652,291162.6363071828,2344.067937707297,265993.2326852415
2019-09-13,180799.6960991295,291377.61864456936,2375.6024536110745,265385.7885912592
2019-09-16,179338.141567539,289804.3618556708,2683.0642969404753,260840.86894836102
2019-09-17,178718.2637119127,289990.02977529477,2529.3333752757753,262963.2862566426
2019-09-18,177967.45382888307,289814.11344733747,2504.368456205014,262228.8722744782
2019-09-19,179157.02148589838,292178.9191585906,2546.414477410051,262811.7818901365
2019-09-20,177677.65828990127,291191.9507249454,2550.356385878294,258867.08513798052
2019-09-23,169784.36401311113,289501.43626499607,2542.472819555865,257588.73842496137
2019-09-24,150435.66765893958,289345.08276313473,2470.206001322408,251284.99786324365
2019-09-25,148104.70946861967,287556.8138154683,2464.9503739788074,255140.23975868174
2019-09-26,141682.37678825491,287146.4119667909,2474.147909790652,251029.6138462313
2019-09-27,144001.2012282805,288748.98317345226,2446.555302355117,248953.37701330177
2019-09-30,144734.52624080185,288152.9134051508,2384.799989422921,250462.5908777004
2019-10-01,145596.73826663214,286667.5700481589,2363.776978820402,250425.0758462357
2019-10-02,146465.1875854508,279153.02929543663,2309.9054828246935,247190.24098522952
2019-10-03,144143.36379141992,279749.09906373784,2313.8473912929353,248804.77874078235
2019-10-04,143200.1010403089,284087.81182090036,2344.067937707299,251002.20849930224
2019-10-07,143892.61097985992,285827.2035247084,2344.067937707299,249993.6705970839
2019-10-08,143598.74245447307,280364.7316581352,2323.0449271047796,246076.37919185715
2019-10-09,150002.4314230092,281937.988447034,2340.1260292390557,248454.16290446025
2019-10-10,149840.72193348274,285182.25651254825,2379.54436207932,248204.5558500397
2019-10-11,145221.20551173628,289716.4186023829,2429.473949606787,249886.90246528186
2019-10-14,146144.8702111079,287595.90964627906,2378.2303925899055,250537.6209406295
2019-10-15,143190.148638382,290224.54511739634,2365.090948309817,255003.17779865497
2019-10-16,140435.67654997294,289530.75068275875,2384.7999894229215,256453.2306345606
2019-10-17,141419.62656067332,290087.7246202497,2404.5090305360254,257903.26585777578
